Run Index,Generation,Best Fitness,Genetic Code,Rule,StartingRule
0,1,1163,0,2,1163,0,3,1163,0,4,1163,0,5,1163,0,6,1163,0,7,1163,0,8,1163,0,9,1163,0,10,1163,Run Index,Generation,Best Fitness,Genetic Code,Rule,StartingRule
1,4,1333
1,5,1333
1,6,1333
1,7,1333
1,8,1500
1,9,1500
1,10,1500
Run Index,Generation,Best Fitness,Genetic Code
2,1,1750
2,2,1750
2,3,1750
2,4,1750
2,5,2000
2,6,2000
2,7,2000
2,8,2000
2,9,2000
2,10,2000
Run Index,Generation,Best Fitness,Genetic Code
0,1,151
0,2,151
0,3,151
0,4,151
0,5,151
0,6,151
0,7,151
0,8,151
0,9,156
0,10,156
Run Index,Generation,Best Fitness,Genetic Code
1,1,1080
1,2,1080
1,3,1080
1,4,1082
1,5,1082
1,6,1082
1,7,1082
1,8,1107
1,9,1107
1,10,1109
Run Index,Generation,Best Fitness,Genetic Code
2,1,1076
2,2,1076
2,3,1090
2,4,1090
2,5,1293
2,6,1293
2,7,1293
2,8,1293
2,9,1391
2,10,1391
Run Index,Generation,Best Fitness,Genetic Code
0,1,852
0,2,852
0,3,852
Run Index,Generation,Best Fitness,Genetic Code
0,1,652
0,2,652
0,3,770
0,4,770
0,5,770
0,6,853
0,7,861
0,8,933
Run Index,Generation,Best Fitness,Genetic Code
0,1,456
0,2,456
0,3,796
0,4,796
0,5,796
0,6,1416
0,7,1416
0,8,1416
0,9,1416
0,10,1416
Run Index,Generation,Best Fitness,Genetic Code
1,1,866
1,2,866
1,3,866
1,4,916
1,5,1232
1,6,1232
1,7,1232
1,8,1232
1,9,1232
1,10,1266
Run Index,Generation,Best Fitness,Genetic Code
2,1,393
2,2,467
2,3,467
2,4,467
2,5,946
2,6,946
2,7,946
2,8,946
2,9,1023
2,10,1023
Run Index,Generation,Best Fitness,Genetic Code
0,1,992
0,2,992
Run Index,Generation,Best Fitness,Genetic Code
0,1,974
0,2,974
0,3,1308
0,4,1475
Run Index,Generation,Best Fitness,Genetic Code
0,1,275
0,2,294
0,3,294
0,4,294
0,5,392
0,6,392
0,7,392
0,8,392
0,9,392
Run Index,Generation,Best Fitness,Genetic Code
0,1,220
0,2,229
0,3,232
0,4,256
0,5,281
0,6,281
0,7,285
0,8,286
Run Index,Generation,Best Fitness,Genetic Code
0,1,342
0,2,382
0,3,402
0,4,525
0,5,525
0,6,525
0,7,525
0,8,879
0,9,879
0,10,903
Run Index,Generation,Best Fitness,Genetic Code
0,1,195
0,2,208
0,3,208
0,4,244
Run Index,Generation,Best Fitness,Genetic Code
0,1,857
0,2,857
0,3,857
0,4,1253
0,5,1253
0,6,1253
0,7,1253
0,8,1583
0,9,1700
0,10,1750
Run Index,Generation,Best Fitness,Genetic Code
0,1,381
0,2,381
0,3,1256
0,4,1256
0,5,1256
0,6,1256
0,7,1256
0,8,1256
0,9,1266
0,10,1266
Run Index,Generation,Best Fitness,Genetic Code
1,1,304
1,2,446
1,3,446
1,4,999
1,5,999
1,6,999
1,7,999
1,8,1499
1,9,1499
1,10,1499
Run Index,Generation,Best Fitness,Genetic Code
2,1,307
2,2,307
2,3,530
2,4,1145
2,5,1145
2,6,1200
Run Index,Generation,Best Fitness,Genetic Code
0,1,456
0,2,456
0,3,494
0,4,494
0,5,494
0,6,494
0,7,553
0,8,553
Run Index,Generation,Best Fitness,Genetic Code
0,1,304
0,2,304
0,3,665
0,4,1046
0,5,1340
0,6,1340
0,7,1361
0,8,1583
0,9,1583
0,10,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,256
1,2,256
1,3,256
1,4,256
1,5,256
1,6,256
1,7,256
1,8,256
1,9,256
1,10,256
Run Index,Generation,Best Fitness,Genetic Code
2,1,760
2,2,760
2,3,760
2,4,760
2,5,760
2,6,760
2,7,802
2,8,802
2,9,802
2,10,802
Run Index,Generation,Best Fitness,Genetic Code
0,1,972
0,2,972
0,3,1444
0,4,1611
0,5,1611
0,6,1611
0,7,1611
0,8,1611
0,9,1611
0,10,1611
Run Index,Generation,Best Fitness,Genetic Code
1,1,150
1,2,150
1,3,182
1,4,1166
1,5,1166
1,6,1166
1,7,1166
1,8,1166
1,9,1166
1,10,1183
Run Index,Generation,Best Fitness,Genetic Code
2,1,199
2,2,240
2,3,240
2,4,285
2,5,285
2,6,285
2,7,285
2,8,455
2,9,455
Run Index,Generation,Best Fitness,Genetic Code
0,1,786
0,2,786
0,3,1006
Run Index,Generation,Best Fitness,Genetic Code
0,1,1208
0,2,1208
0,3,1208
0,4,1208
0,5,1208
0,6,1416
0,7,1583
0,8,1583
0,9,1583
0,10,1583
Run Index,Generation,Best Fitness,Genetic Code
1,1,787
1,2,787
1,3,787
1,4,808
1,5,821
1,6,821
Run Index,Generation,Best Fitness,Genetic Code
0,1,766
0,2,766
0,3,766
0,4,766
0,5,773
0,6,1190
0,7,1190
0,8,1199
0,9,1392
0,10,1392
Run Index,Generation,Best Fitness,Genetic Code
1,1,300
1,2,300
1,3,770
1,4,770
1,5,770
1,6,971
1,7,1021
1,8,1026
1,9,1026
1,10,1026
Run Index,Generation,Best Fitness,Genetic Code
2,1,895
2,2,895
2,3,906
2,4,1033
2,5,1033
2,6,1150
2,7,1325
2,8,1326
2,9,1366
2,10,1366
Run Index,Generation,Best Fitness,Genetic Code
0,1,157
Run Index,Generation,Best Fitness,Genetic Code
0,1,728
0,2,728
0,3,941
0,4,941
0,5,941
0,6,941
0,7,941
0,8,1024
0,9,1500
0,10,1500
Run Index,Generation,Best Fitness,Genetic Code
1,1,256
1,2,256
1,3,256
Run Index,Generation,Best Fitness,Genetic Code
0,1,1173
0,2,1173
0,3,1173
0,4,1249
0,5,1700
0,6,2000
0,7,2000
0,8,2000
0,9,2000
0,10,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,1283
1,2,1283
1,3,1283
1,4,1342
1,5,1666
1,6,1750
1,7,1750
1,8,1833
1,9,1833
1,10,2000
Run Index,Generation,Best Fitness,Genetic Code
2,1,1326
2,2,1326
2,3,1326
2,4,2000
2,5,2000
2,6,2000
2,7,2000
2,8,2000
2,9,2000
2,10,2000
Run Index,Generation,Best Fitness,Genetic Code
0,1,1076
0,2,1076
0,3,1076
0,4,1076
0,5,1076
0,6,1080
0,7,1541
0,8,2000
0,9,2000
0,10,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,1076
1,2,1076
1,3,1076
1,4,1132
1,5,1152
1,6,1540
1,7,1540
1,8,1540
1,9,1540
1,10,1547
Run Index,Generation,Best Fitness,Genetic Code
2,1,1283
2,2,1283
2,3,1283
2,4,1283
2,5,1300
2,6,1300
2,7,1540
2,8,1540
2,9,1540
2,10,1543
Run Index,Generation,Best Fitness,Genetic Code
0,1,1316
0,2,1316
0,3,1316
Run Index,Generation,Best Fitness,Genetic Code
0,1,1750
0,2,1750
0,3,1750
0,4,1750
0,5,1833
0,6,2000
0,7,2000
0,8,2000
0,9,2000
0,10,2000
Run Index,Generation,Best Fitness,Genetic Code
0,1,1058
0,2,1700
0,3,1700
0,4,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,1666
1,2,2000
Run Index,Generation,Best Fitness,Genetic Code
2,1,974
2,2,1208
2,3,1433
2,4,1433
2,5,1433
2,6,2000
Run Index,Generation,Best Fitness,Genetic Code
0,1,687
0,2,687
0,3,692
Run Index,Generation,Best Fitness,Genetic Code
0,1,1499
0,2,1583
0,3,1666
0,4,1666
0,5,1750
0,6,1833
0,7,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,888
1,2,888
1,3,1499
1,4,1642
1,5,1642
1,6,1666
1,7,1666
1,8,1750
